 ;T (K);P (MPa);h (kJ/kg);s (kJK/kg);x (-);v (m3/kg)
State 1;753;12;3294.833;6.418;1;0.02578
State 2;533.228;2;2928.669;6.596;1;0.11442
State 3;406.675;0.3;2652.254;6.813;0.966;0.58548
State 4;309.31;0.006;2239.375;7.271;0.864;20.51801
State 5;309.31;0.006;151.494;0.521;0;0.00101
State 6;309.336;0.3;151.864;0.521;0;0.00101
State 7;372.756;0.1;417.436;1.303;0;0.00104
State 8;374.309;12;432.914;1.311;0;0.00104
State 9;483;12;900.718;2.407;0;0.00116
State 10;485.535;2;908.622;2.447;0;0.00118
State 11;406.675;0.3;908.622;2.525;0.16;0.09811
